#name1	name2	strand1	strand2	start1	end1	start2	end2	size1	size2	length1	length2	nmatch	ngap	identity	idPct	continuity	conPct	coverage	covPct
III	III	+	+	1	127	11	135	13783801	19436473	127	125	125	2	125/125	100.0%	125/127	98.4%	127/13783801	0.0%
III	III	+	+	2	131	6	133	13783801	19436473	130	128	128	2	128/128	100.0%	128/130	98.5%	130/13783801	0.0%
III	III	+	+	951039	951163	136	271	13783801	19436473	125	136	108	1	108/125	86.4%	125/136	91.9%	125/13783801	0.0%
III	III	+	+	974743	974908	100	285	13783801	19436473	166	186	144	4	144/165	87.3%	165/187	88.2%	166/13783801	0.0%
III	III	+	+	975688	975810	247	368	13783801	19436473	123	122	99	1	99/122	81.1%	122/123	99.2%	123/13783801	0.0%
III	III	+	+	1052384	1052645	364	628	13783801	19436473	262	265	219	4	219/254	86.2%	254/273	93.0%	262/13783801	0.0%
III	III	+	+	1169737	1169949	363	567	13783801	19436473	213	205	178	4	178/205	86.8%	205/213	96.2%	213/13783801	0.0%
III	III	+	+	1169737	1169944	451	663	13783801	19436473	208	213	180	2	180/207	87.0%	207/214	96.7%	208/13783801	0.0%
III	III	+	+	1557918	1558020	496	603	13783801	19436473	103	108	87	2	87/102	85.3%	102/109	93.6%	103/13783801	0.0%
III	III	+	+	1703998	1704360	524	883	13783801	19436473	363	360	315	5	315/359	87.7%	359/364	98.6%	363/13783801	0.0%
III	III	+	+	1714029	1714581	581	1141	13783801	19436473	553	561	484	9	484/548	88.3%	548/566	96.8%	553/13783801	0.0%
III	III	+	+	1714029	1714578	587	1150	13783801	19436473	550	564	485	9	485/546	88.8%	546/568	96.1%	550/13783801	0.0%
III	III	+	+	1716887	1717656	909	1668	13783801	19436473	770	760	611	10	611/754	81.0%	754/776	97.2%	770/13783801	0.0%
III	III	+	+	1716889	1717656	541	1293	13783801	19436473	768	753	608	13	608/740	82.2%	740/781	94.8%	768/13783801	0.0%
III	III	+	+	1753032	1753513	1149	1632	13783801	19436473	482	484	389	7	389/477	81.6%	477/489	97.5%	482/13783801	0.0%
III	III	+	+	1753032	1753507	828	1317	13783801	19436473	476	490	382	9	382/473	80.8%	473/493	95.9%	476/13783801	0.0%
III	III	+	+	1881494	1881935	1064	1505	13783801	19436473	442	442	364	4	364/440	82.7%	440/444	99.1%	442/13783801	0.0%
III	III	+	+	1971837	1971889	1469	1522	13783801	19436473	53	54	48	1	48/53	90.6%	53/54	98.1%	53/13783801	0.0%
III	III	+	+	2046628	2046926	1524	1846	13783801	19436473	299	323	233	5	233/297	78.5%	297/325	91.4%	299/13783801	0.0%
III	III	+	+	2046628	2046915	1457	1710	13783801	19436473	288	254	211	4	211/252	83.7%	252/290	86.9%	288/13783801	0.0%
III	III	+	+	2060092	2060392	1405	1689	13783801	19436473	301	285	233	6	233/280	83.2%	280/306	91.5%	301/13783801	0.0%
III	III	+	+	2466954	2467022	1684	1755	13783801	19436473	69	72	60	1	60/69	87.0%	69/72	95.8%	69/13783801	0.0%
III	III	+	+	2641733	2642181	1479	1954	13783801	19436473	449	476	365	7	365/444	82.2%	444/481	92.3%	449/13783801	0.0%
III	III	+	+	2757489	2757811	1649	1989	13783801	19436473	323	341	256	10	256/313	81.8%	313/351	89.2%	323/13783801	0.0%
III	III	+	+	2757510	2757811	1796	2087	13783801	19436473	302	292	238	8	238/279	85.3%	279/315	88.6%	302/13783801	0.0%
III	III	+	+	2937834	2938181	1811	2131	13783801	19436473	348	321	266	5	266/317	83.9%	317/352	90.1%	348/13783801	0.0%
III	III	+	+	3055919	3056237	1793	2125	13783801	19436473	319	333	255	4	255/310	82.3%	310/342	90.6%	319/13783801	0.0%
III	III	+	+	3441962	3442011	2544	2593	13783801	19436473	50	50	43	0	43/50	86.0%	50/50	100.0%	50/13783801	0.0%
III	III	+	+	3477525	3477601	2548	2619	13783801	19436473	77	72	65	1	65/72	90.3%	72/77	93.5%	77/13783801	0.0%
III	III	+	+	3544033	3544119	7795	7881	13783801	19436473	87	87	66	0	66/87	75.9%	87/87	100.0%	87/13783801	0.0%
III	III	+	+	3544463	3544742	7898	8155	13783801	19436473	280	258	181	3	181/254	71.3%	254/284	89.4%	280/13783801	0.0%
III	III	+	+	3544957	3545040	8172	8255	13783801	19436473	84	84	64	0	64/84	76.2%	84/84	100.0%	84/13783801	0.0%
III	III	+	+	3566897	3567003	55707	55813	13783801	19436473	107	107	99	0	99/107	92.5%	107/107	100.0%	107/13783801	0.0%
III	III	+	+	3895947	3896014	70515	70582	13783801	19436473	68	68	54	0	54/68	79.4%	68/68	100.0%	68/13783801	0.0%
III	III	+	+	4041371	4041544	132686	132859	13783801	19436473	174	174	133	0	133/174	76.4%	174/174	100.0%	174/13783801	0.0%
III	III	+	+	4053952	4054222	133220	133487	13783801	19436473	271	268	187	1	187/268	69.8%	268/271	98.9%	271/13783801	0.0%
III	III	+	+	4054317	4054456	133873	134012	13783801	19436473	140	140	109	0	109/140	77.9%	140/140	100.0%	140/13783801	0.0%
III	III	+	+	4054790	4055113	134044	134460	13783801	19436473	324	417	259	5	259/324	79.9%	324/417	77.7%	324/13783801	0.0%
III	III	+	+	4055458	4056300	135546	136189	13783801	19436473	843	644	486	9	486/641	75.8%	641/846	75.8%	843/13783801	0.0%
III	III	+	+	4056720	4057257	136901	137438	13783801	19436473	538	538	408	0	408/538	75.8%	538/538	100.0%	538/13783801	0.0%
III	III	+	+	4068154	4068516	148520	148923	13783801	19436473	363	404	263	12	263/338	77.8%	338/429	78.8%	363/13783801	0.0%
III	III	+	+	4069260	4069395	149383	149518	13783801	19436473	136	136	118	0	118/136	86.8%	136/136	100.0%	136/13783801	0.0%
III	III	+	+	4070864	4071632	153760	154717	13783801	19436473	769	958	597	8	597/766	77.9%	766/961	79.7%	769/13783801	0.0%
III	III	+	+	4071881	4074216	155698	158413	13783801	19436473	2336	2716	1751	29	1751/2284	76.7%	2284/2768	82.5%	2336/13783801	0.0%
III	III	+	+	4074215	4074880	158956	159621	13783801	19436473	666	666	534	0	534/666	80.2%	666/666	100.0%	666/13783801	0.0%
III	III	+	+	4074917	4075121	160496	160700	13783801	19436473	205	205	164	0	164/205	80.0%	205/205	100.0%	205/13783801	0.0%
III	III	+	+	4075964	4076128	160699	160863	13783801	19436473	165	165	127	0	127/165	77.0%	165/165	100.0%	165/13783801	0.0%
III	III	+	+	4076378	4076609	162440	162671	13783801	19436473	232	232	201	0	201/232	86.6%	232/232	100.0%	232/13783801	0.0%
III	III	+	+	4077636	4077741	163664	163770	13783801	19436473	106	107	95	1	95/106	89.6%	106/107	99.1%	106/13783801	0.0%
III	III	+	+	4078646	4079040	164460	164854	13783801	19436473	395	395	318	3	318/391	81.3%	391/399	98.0%	395/13783801	0.0%
III	III	+	+	4079075	4079318	166409	166652	13783801	19436473	244	244	203	0	203/244	83.2%	244/244	100.0%	244/13783801	0.0%
III	III	+	+	4079346	4079666	167152	167469	13783801	19436473	321	318	225	1	225/318	70.8%	318/321	99.1%	321/13783801	0.0%
III	III	+	+	4079825	4080443	168825	169439	13783801	19436473	619	615	484	1	484/615	78.7%	615/619	99.4%	619/13783801	0.0%
III	III	+	+	4080507	4081918	170130	171612	13783801	19436473	1412	1483	931	13	931/1238	75.2%	1238/1657	74.7%	1412/13783801	0.0%
III	III	+	+	4082344	4082507	171714	171877	13783801	19436473	164	164	140	0	140/164	85.4%	164/164	100.0%	164/13783801	0.0%
III	III	+	+	4082537	4082685	172213	172361	13783801	19436473	149	149	134	0	134/149	89.9%	149/149	100.0%	149/13783801	0.0%
III	III	+	+	4401632	4401829	323429	323626	13783801	19436473	198	198	132	0	132/198	66.7%	198/198	100.0%	198/13783801	0.0%
III	III	+	+	4401861	4402113	323944	324195	13783801	19436473	253	252	182	1	182/252	72.2%	252/253	99.6%	253/13783801	0.0%
